date,BEV_Registrations,Total_Vehicle_Registrations,BEV_Share,Charging_Infrastructure,RHDI_per_head,CPI,Petrol_Price,PiCG_Amount_GBP,GT_Index,BEV_Registrations_lag_1,BEV_Registrations_lag_3,BEV_Registrations_lag_6,BEV_Registrations_lag_12,BEV_Share_lag_1,BEV_Share_lag_3,BEV_Share_lag_6,BEV_Share_lag_12,Charging_Infrastructure_lag_1,Charging_Infrastructure_lag_3,Charging_Infrastructure_lag_6,Charging_Infrastructure_lag_12,RHDI_per_head_lag_1,RHDI_per_head_lag_3,RHDI_per_head_lag_6,RHDI_per_head_lag_12,Petrol_Price_lag_1,Petrol_Price_lag_3,Petrol_Price_lag_6,Petrol_Price_lag_12,GT_Index_lag_1,GT_Index_lag_3,GT_Index_lag_6,GT_Index_lag_12,BEV_Share_rolling_mean_3,BEV_Share_rolling_std_3,BEV_Share_rolling_mean_6,BEV_Share_rolling_std_6,BEV_Share_rolling_mean_12,BEV_Share_rolling_std_12,Petrol_Price_rolling_mean_3,Petrol_Price_rolling_std_3,Petrol_Price_rolling_mean_6,Petrol_Price_rolling_std_6,Petrol_Price_rolling_mean_12,Petrol_Price_rolling_std_12,GT_Index_rolling_mean_3,GT_Index_rolling_std_3,GT_Index_rolling_mean_6,GT_Index_rolling_std_6,GT_Index_rolling_mean_12,GT_Index_rolling_std_12,FuelPrice_x_Policy,Interest_x_Income
31-01-2011,54,424100,0.000127328,0,5129,91.3,127.4,5000,-1.574770773,54,54,54,54,0.000127328,0.000127328,0.000127328,0.000127328,0,0,0,0,5129,5129,5129,5129,127.4,127.4,127.4,127.4,-1.574770773,-1.574770773,-1.574770773,-1.574770773,0.000236867,0.00021393,0.00033122,0.000267809,0.000300817,0.000274289,129.55,2.471335671,132.4683333,3.615441421,133.4075,2.725816391,-1.770851061,0.225967959,-1.89421027,0.197185464,-1.976052818,0.158468644,637000,-8076.999297
28-02-2011,36,360400,9.99E-05,0,5088,92,129,5000,-2.017974769,54,54,54,54,0.000127328,0.000127328,0.000127328,0.000127328,0,0,0,0,5129,5129,5129,5129,127.4,127.4,127.4,127.4,-1.574770773,-1.574770773,-1.574770773,-1.574770773,0.000236867,0.00021393,0.00033122,0.000267809,0.000300817,0.000274289,129.55,2.471335671,132.4683333,3.615441421,133.4075,2.725816391,-1.770851061,0.225967959,-1.89421027,0.197185464,-1.976052818,0.158468644,637000,-8076.999297
31-03-2011,320,662000,0.000483384,0,5047,92.2,132.25,5000,-1.71980764,36,54,54,54,9.99E-05,0.000127328,0.000127328,0.000127328,0,0,0,0,5088,5129,5129,5129,129,127.4,127.4,127.4,-2.017974769,-1.574770773,-1.574770773,-1.574770773,0.000236867,0.00021393,0.00033122,0.000267809,0.000300817,0.000274289,129.55,2.471335671,132.4683333,3.615441421,133.4075,2.725816391,-1.770851061,0.225967959,-1.89421027,0.197185464,-1.976052818,0.158468644,645000,-10267.45562
30-04-2011,320,434400,0.000736648,0,5063.3333,93.2,134.29,5000,-2.017974769,320,54,54,54,0.000483384,0.000127328,0.000127328,0.000127328,0,0,0,0,5047,5129,5129,5129,132.25,127.4,127.4,127.4,-1.71980764,-1.574770773,-1.574770773,-1.574770773,0.000439974,0.000320591,0.00033122,0.000267809,0.000300817,0.000274289,131.8466667,2.667964268,132.4683333,3.615441421,133.4075,2.725816391,-1.918585726,0.172146872,-1.89421027,0.197185464,-1.976052818,0.158468644,661250,-8679.869161
31-05-2011,38,447300,8.50E-05,0,5079.6667,93.4,136.28,5000,-1.995205094,320,36,54,54,0.000736648,9.99E-05,0.000127328,0.000127328,0,0,0,0,5063.3333,5088,5129,5129,134.29,129,127.4,127.4,-2.017974769,-2.017974769,-1.574770773,-1.574770773,0.000434995,0.000328531,0.00033122,0.000267809,0.000300817,0.000274289,134.2733333,2.015051695,132.4683333,3.615441421,133.4075,2.725816391,-1.910995835,0.165964782,-1.89421027,0.197185464,-1.976052818,0.158468644,671450,-10217.67885
30-06-2011,218,479000,0.000455115,0,5096,93.3,135.59,5000,-2.039528573,38,320,54,54,8.50E-05,0.000483384,0.000127328,0.000127328,0,0,0,0,5079.6667,5047,5129,5129,136.28,132.25,127.4,127.4,-1.995205094,-1.71980764,-1.574770773,-1.574770773,0.000425572,0.00032685,0.00033122,0.000267809,0.000300817,0.000274289,135.3866667,1.010461941,132.4683333,3.615441421,133.4075,2.725816391,-2.017569479,0.022164518,-1.89421027,0.197185464,-1.976052818,0.158468644,681400,-10134.97688
31-07-2011,336,429200,0.000782852,0,5093.3333,93.3,134.56,5000,-2.062298247,218,320,54,54,0.000455115,0.000736648,0.000127328,0.000127328,0,0,0,0,5096,5063.3333,5129,5129,135.59,134.29,127.4,127.4,-2.039528573,-2.017974769,-1.574770773,-1.574770773,0.000440974,0.000349164,0.000440474,0.000299797,0.000300817,0.000274289,135.4766667,0.865582655,133.6616667,2.66457814,133.4075,2.725816391,-2.032343971,0.034118714,-1.975464849,0.127286034,-1.976052818,0.158468644,677950,-10393.43761
31-08-2011,36,357300,0.000100756,0,5090.6667,93.8,135.47,5000,-2.039528573,336,38,36,54,0.000782852,8.50E-05,9.99E-05,0.000127328,0,0,0,0,5093.3333,5079.6667,5088,5129,134.56,136.28,129,127.4,-2.062298247,-1.995205094,-2.017974769,-1.574770773,0.000446241,0.000341135,0.000440618,0.0002996,0.000300817,0.000274289,135.2066667,0.563234705,134.74,1.41859085,133.4075,2.725816391,-2.047118464,0.013146078,-1.979057149,0.12901807,-1.976052818,0.158468644,672800,-10503.97234
30-09-2011,38,629800,6.03E-05,0,5088,94.4,135.17,5000,-2.039528573,36,218,320,54,0.000100756,0.000455115,0.000483384,0.000127328,0,0,0,0,5090.6667,5096,5047,5129,135.47,135.59,132.25,127.4,-2.039528573,-2.039528573,-1.71980764,-1.574770773,0.000314648,0.00040598,0.00037011,0.000335189,0.000300817,0.000274289,135.0666667,0.463716868,135.2266667,0.72467004,133.4075,2.725816391,-2.047118464,0.013146078,-2.032343971,0.022969041,-1.976052818,0.158468644,677350,-10382.56019
31-10-2011,218,431800,0.000504863,0,5078.3333,94.5,134.67,5000,-2.061082377,38,336,320,54,6.03E-05,0.000782852,0.000736648,0.000127328,0,0,0,0,5088,5093.3333,5063.3333,5129,135.17,134.56,134.29,127.4,-2.039528573,-2.062298247,-2.017974769,-1.574770773,0.000221985,0.000245812,0.000331479,0.000295503,0.000300817,0.000274289,135.1033333,0.404145188,135.29,0.637840105,133.4075,2.725816391,-2.046713174,0.012444094,-2.039528573,0.024280013,-1.976052818,0.158468644,675850,-10377.12138
